"date","user_name","netabare","text"
"2019/01/04","しみけん","true","新年１冊目。コレは涙腺にどストライクでした。 電車で読まず、家で読んでてよかった… タイトルから時系列の話に気付くのはそれほど難しい事ではなかったので、序盤に気づけました。 ですが、それ以降は本当に切なくて続きを読むのが辛くなります。 自分にとっては初めて会うはずなのに、 お互いに「この人だ」と感じたシーンは何か時間の流れを超えた「人の想い」のようなものを感じました。 こういう話を読むと運命を信じたくなるなあ…"
"2019/01/03","おはつねこんこん","false","BOOK・OFFで気になって少しの読んだときから、「絶対これ好きだ‼」って思って買ってきた本。はじめは軽～い気持ちで読んでいたけど、ネタバレの後から１日１日がすごく悲しかった(;つД｀)これは、家で読むやつだ。電車とかでうっかり読めない❗帯とかにも書いてあった通りもう一度じっくり読みたい‼映画見たかった！"
"2019/01/03","はつき","false","泣ける。"
"2018/12/30","kyouikufs","true","時間軸が「まったく逆」というか、全く違う時間軸の話でした。おそらく「愛美」の時間軸のほうが文明が少し進んでいるような感じですね。進む時間が「逆」なだけで。その設定だけで「愛美」側の視点から見たときの悲しみが倍増します。あえて「高寿」視点から描かれているのもそれを際立たせていますね。語り手のレトリックと設定をうまく融合させた小説です。"
"2018/12/27","なっつん","false","あぁやばい。これはなぁ、やばい。確かにこれは、もう一度読み返したくなる。というか、随所でいちいち読み返した。ありきたりなような、唯一無二のような、不思議な感覚。でもとりあえず言えることは、読み終えると大切な人に会いたくなる。これからもきちんと共に歩んでいける、自分の大切な人に気持ちを伝えたくなる。"
"2018/12/26","じょんじょん","true","ひたすらに甘く切ないラブストーリー。2014年作品で、映画化封切りされたのが2016年12月。映画館で予告篇がさかんに流れていて、観ようかどうか迷っていたのを思い出しました。もう2年たったのですね。身内に不幸があって、映画は観逃してしまったのですが、予告篇で想像していたのと少し違っていました。謎がわかると、愛美のほうがより辛いだろうなと思います。胸がつぶれるくらいの切なさでしょう。そして高寿がわずかな年上を感じたとき、寂寥感が漂いますがラストは哀しくも優しい余韻に包まれました。レンタルで映画も観てみます。"
"2018/12/24","梨帆 那乃","false","中学の時に友達に借りて1度読んだことがあって、図書館でたまたま見つけて思い立って久しぶりに読んでみた。 少し変わったラブストーリーだと思う。 ただ、読み進めていくうちに思考がこんがらがる時がたまにあって、紙に書き出したりして、自身も変わった読み方をした本でした。 でも面白かった！"
"2018/12/23","saori-san","false","明日、昨日の君とデート？って、何度理解しようとしたけど、理解不能…40日間の物語。後半は刹那過ぎて、出逢わない方が良かったのでは？ってメチャクチャ思ってしまった。愛美の視点で再度見直すと、刹那過ぎて仕方ない。"
"2018/12/23","まー","false","面白いと進められ、初めて読む作家さん。恋愛物はまり読む事がなかったが君の膵臓を…を読んでからチョイチョイ読んではいるものの、やはり良くもなく悪くもない微妙な感じ。 しかも読解力？がないのか、混乱気味で何度も読むのを止め、ゆっくり考えながら読んだ。 ありがちな出会い、ストーリー、個人的には普通だったかな⁈"
"2018/12/22","ぬこ","true","するすると読める。うわー、有名になる前に読みたかった。大筋は知っていた。それでも自分にとっての初めてが相手にとっては最後なのだという衝撃は大きい。ネタバレ無しで読んでたらそりゃ号泣ものだわ。知っていてもうっすらと涙ぐんでしまった。登場人物に感情移入するというよりは、設定から自身がもしも…と考えて胸にきた感じ。映像・音の効果があればなおさらだろうなあ。映画が気になった。少し前に読んだ、待ってよ(著:蜂須賀敬明)を思い出した。"
