"id","answer","nb_answer","text"
"573811","","false","驚 こと 初め 違和感 読む なっ いく 恐怖 読み 終わっ あと 点 点 繋がり 納得 最後 種明かし 的 解説 ページ あり それ 女 思う 子 そうそう い 笑 映画 確か これ やっ の 気 なり"
"573811","鈴木君,","false","普段 自分 不注意 本 読ん い 気づか せ くれ 本 自分 都合 解釈 し 本 読ん い あれ 【charaname】 君 富士通 就職 し ん そっか ギフト 商品 会社 変わっ 0度 目 脳内 辻褄 あう よう 読ん い 青春小説 クソ 思っ レビュー 帯 0度 読め 読む 謎とき なっ 副題 side A side B 丁寧 本 読も 思い 内容"
"573811","","false","伏線 キーワード 探し そう 思っ 購入 し 途中 トリック 気づい しまい 先入観 素直 読ん い 何 気づか 最後 どんでん返し 楽しめ しれ 文章 自体 帯 あらすじ トリック ある こと におわせる こと 書い ある よう 途中 気づく 方 の 思い"
"573811","","false","自分 アホ すぎ 読み 終わっ 後 考察 サイト 見 全貌 把握 出来 出来 い ハメ られ Kindle版 読む 皆 ハイライト し いる 部分 重要 伏線 見える それ 確認 し 無駄 深読み し しまっ 読む 人 読ん い 途中 違和感 感じる あなた 勘違い 記憶 違い スルー せ 何 気 し 読ん い オチ 楽しめる"
"573811","","false","題名 察し 通り 完全 恋愛 小説 男女 知り合っ 恋におちて 付き合っ すれ違い ストレート お話 作者 知ら 方 の ネットで話題 なっ いる の 知り 思い切っ 購入 し 帯 評判 通り 仰天 作 二 回 読み なる 小説 そうそう ある もの by 読売新聞 大げさ ん ツッコミ 数 日 前 読み 始め 読み 始める ホント めちゃくちゃ 恋愛小説 ん 読ん て なる 台詞 クサ い じゃなくて リアル すぎ 男性 視点 描か れ いる 男性 時 いう こと 考え てる の 勉強 なっ ページ 読み 進め 行っ 最後 二 行 驚き ストレート 恋愛 小説 とんでも 問題作 トリック の 解 気付い て 私 腰 抜かし しまい 最初 0 ページ 読み 始め"
"573811","","false","仕掛 二 度 読ん なる 作品 部分 抜き し モテ こと 男 分かる 男女 間 微妙 駆引き やり取り 秀逸 Wi-Fi 携帯 昔 思い出し 気持ち なる 良作"
"573811","","false","帯 0 万人 騙さ れ あり 私 なんの 変哲 恋愛小説 思え トリック わかる ミステリー小説 よう なり 違っ 面 楽しむ こと でき 映画 見 み なり"
"573811","","false","残り ページ 数 物語 終盤 どんでん返し ある 全く 予想 出来 まま 最後 ページ たどり着き 騙さ れ 終わっ どんでん返し 展開 これ 読ん こ 他 小説 読ん み 思う"
"573811","","false","それ以降 読も 思わ ミステリ 大概 もん"
"573811","","false","何 変 分かり 悶々 感じ 最後 二 行 目 なに 起こる ん それ 楽しみ 読み 進め そこ 読ん 時 なに 混乱 し"
"573811","","false","映画化 さ せる 前 み の 一 回 目 わから 0回 見"
"573811","","false","テレビ おすすめ し い の 間違い あり 最後 読む 何 気づき 読み返す"
"573811","","false","最後 なり 読み返し"
